0.00022	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00029	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00033	   Digraph	005	010	      bell	
0.00039	   Digraph	005	010	      bell	
0.00039	   Digraph	005	010	      bell	
0.00509	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00025	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00026	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00024	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00014	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00013	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00013	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00013	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00013	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
