REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.00024	0.00049	0.00016	0.00512	   Digraph	005	010	      bell
100	0.00006	0.00004	0.00004	0.00040	   Digraph	005	010	     fbell	
100	0.00010	0.00003	0.00009	0.00033	   Digraph	005	010	      dijk	
100	0.00029	0.00097	0.00017	0.00991	   Digraph	005	011	      bell	
100	0.00004	0.00002	0.00004	0.00024	   Digraph	005	011	     fbell	
100	0.00014	0.00046	0.00009	0.00473	   Digraph	005	011	      dijk	
100	0.00028	0.00045	0.00019	0.00473	   Digraph	005	012	      bell	
100	0.00005	0.00002	0.00004	0.00012	   Digraph	005	012	     fbell	
100	0.00010	0.00004	0.00009	0.00044	   Digraph	005	012	      dijk	
100	0.00030	0.00045	0.00020	0.00479	   Digraph	005	013	      bell	
100	0.00006	0.00002	0.00004	0.00012	   Digraph	005	013	     fbell	
100	0.00021	0.00102	0.00009	0.01034	   Digraph	005	013	      dijk	
100	0.00029	0.00047	0.00021	0.00492	   Digraph	005	014	      bell	
100	0.00005	0.00002	0.00004	0.00015	   Digraph	005	014	     fbell	
100	0.00011	0.00002	0.00009	0.00018	   Digraph	005	014	      dijk	
100	0.00035	0.00044	0.00023	0.00467	   Digraph	005	015	      bell	
100	0.00005	0.00001	0.00004	0.00010	   Digraph	005	015	     fbell	
100	0.00012	0.00004	0.00009	0.00039	   Digraph	005	015	      dijk	
100	0.00041	0.00109	0.00023	0.01117	   Digraph	005	016	      bell	
100	0.00005	0.00002	0.00004	0.00026	   Digraph	005	016	     fbell	
100	0.00010	0.00002	0.00009	0.00025	   Digraph	005	016	      dijk	
100	0.00053	0.00073	0.00028	0.00605	   Digraph	005	017	      bell	
100	0.00006	0.00002	0.00004	0.00012	   Digraph	005	017	     fbell	
100	0.00014	0.00005	0.00010	0.00054	   Digraph	005	017	      dijk	
100	0.00055	0.00091	0.00028	0.00698	   Digraph	005	018	      bell	
100	0.00007	0.00001	0.00005	0.00010	   Digraph	005	018	     fbell	
100	0.00015	0.00002	0.00009	0.00019	   Digraph	005	018	      dijk	
100	0.00034	0.00044	0.00026	0.00469	   Digraph	005	019	      bell	
100	0.00005	0.00001	0.00004	0.00009	   Digraph	005	019	     fbell	
100	0.00013	0.00003	0.00010	0.00021	   Digraph	005	019	      dijk	
100	0.00055	0.00064	0.00032	0.00680	   Digraph	005	020	      bell	
100	0.00007	0.00001	0.00005	0.00012	   Digraph	005	020	     fbell	
100	0.00024	0.00109	0.00010	0.01112	   Digraph	005	020	      dijk	
