REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.01335	0.00255	0.01118	0.02269	   Digraph	050	060	      bell
100	0.00013	0.00001	0.00012	0.00017	   Digraph	050	060	     fbell	
100	0.00089	0.00002	0.00087	0.00097	   Digraph	050	060	      dijk	
100	0.01247	0.00157	0.01158	0.01670	   Digraph	050	063	      bell	
100	0.00011	0.00001	0.00010	0.00016	   Digraph	050	063	     fbell	
100	0.00089	0.00002	0.00088	0.00096	   Digraph	050	063	      dijk	
100	0.01274	0.00158	0.01189	0.01709	   Digraph	050	066	      bell	
100	0.00015	0.00001	0.00014	0.00023	   Digraph	050	066	     fbell	
100	0.00096	0.00002	0.00094	0.00108	   Digraph	050	066	      dijk	
100	0.01307	0.00158	0.01220	0.01739	   Digraph	050	069	      bell	
100	0.00019	0.00001	0.00018	0.00027	   Digraph	050	069	     fbell	
100	0.00110	0.00044	0.00102	0.00547	   Digraph	050	069	      dijk	
100	0.01349	0.00177	0.01252	0.02143	   Digraph	050	072	      bell	
100	0.00007	0.00001	0.00007	0.00010	   Digraph	050	072	     fbell	
100	0.00079	0.00002	0.00077	0.00087	   Digraph	050	072	      dijk	
100	0.01379	0.00172	0.01281	0.01845	   Digraph	050	075	      bell	
100	0.00008	0.00001	0.00007	0.00013	   Digraph	050	075	     fbell	
100	0.00079	0.00002	0.00078	0.00085	   Digraph	050	075	      dijk	
100	0.01418	0.00181	0.01314	0.02064	   Digraph	050	078	      bell	
100	0.00008	0.00001	0.00007	0.00011	   Digraph	050	078	     fbell	
100	0.00080	0.00002	0.00078	0.00086	   Digraph	050	078	      dijk	
100	0.01451	0.00177	0.01354	0.02020	   Digraph	050	081	      bell	
100	0.00008	0.00001	0.00008	0.00013	   Digraph	050	081	     fbell	
100	0.00083	0.00044	0.00076	0.00519	   Digraph	050	081	      dijk	
100	0.01488	0.00397	0.01193	0.04969	   Digraph	050	084	      bell	
100	0.00024	0.00001	0.00023	0.00030	   Digraph	050	084	     fbell	
100	0.00116	0.00002	0.00114	0.00121	   Digraph	050	084	      dijk	
100	0.01497	0.00176	0.01390	0.01984	   Digraph	050	087	      bell	
100	0.00023	0.00046	0.00018	0.00476	   Digraph	050	087	     fbell	
100	0.00110	0.00002	0.00108	0.00115	   Digraph	050	087	      dijk	
100	0.01506	0.00180	0.01402	0.02200	   Digraph	050	090	      bell	
100	0.00026	0.00001	0.00025	0.00029	   Digraph	050	090	     fbell	
100	0.00121	0.00002	0.00119	0.00130	   Digraph	050	090	      dijk	
100	0.01556	0.00180	0.01458	0.01985	   Digraph	050	093	      bell	
100	0.00024	0.00001	0.00023	0.00028	   Digraph	050	093	     fbell	
100	0.00116	0.00003	0.00114	0.00142	   Digraph	050	093	      dijk	
100	0.01604	0.00186	0.01491	0.02042	   Digraph	050	096	      bell	
100	0.00027	0.00001	0.00026	0.00030	   Digraph	050	096	     fbell	
100	0.00123	0.00002	0.00120	0.00130	   Digraph	050	096	      dijk	
100	0.01629	0.00186	0.01523	0.02230	   Digraph	050	099	      bell	
100	0.00025	0.00001	0.00024	0.00031	   Digraph	050	099	     fbell	
100	0.00122	0.00046	0.00115	0.00581	   Digraph	050	099	      dijk	
100	0.01675	0.00194	0.01563	0.02438	   Digraph	050	102	      bell	
100	0.00029	0.00001	0.00027	0.00034	   Digraph	050	102	     fbell	
100	0.00120	0.00003	0.00117	0.00130	   Digraph	050	102	      dijk	
100	0.01712	0.00199	0.01583	0.02393	   Digraph	050	105	      bell	
100	0.00023	0.00001	0.00022	0.00032	   Digraph	050	105	     fbell	
100	0.00121	0.00044	0.00114	0.00559	   Digraph	050	105	      dijk	
100	0.01735	0.00200	0.01609	0.02544	   Digraph	050	108	      bell	
100	0.00026	0.00001	0.00025	0.00032	   Digraph	050	108	     fbell	
100	0.00123	0.00046	0.00116	0.00575	   Digraph	050	108	      dijk	
100	0.01778	0.00333	0.01451	0.04418	   Digraph	050	111	      bell	
100	0.00028	0.00001	0.00027	0.00034	   Digraph	050	111	     fbell	
100	0.00124	0.00046	0.00117	0.00586	   Digraph	050	111	      dijk	
100	0.01828	0.00212	0.01696	0.02665	   Digraph	050	114	      bell	
100	0.00008	0.00001	0.00007	0.00014	   Digraph	050	114	     fbell	
100	0.00085	0.00003	0.00082	0.00111	   Digraph	050	114	      dijk	
100	0.01806	0.00187	0.01695	0.02247	   Digraph	050	117	      bell	
100	0.00030	0.00001	0.00029	0.00036	   Digraph	050	117	     fbell	
100	0.00123	0.00002	0.00121	0.00130	   Digraph	050	117	      dijk	
100	0.01873	0.00216	0.01742	0.02587	   Digraph	050	120	      bell	
100	0.00031	0.00001	0.00029	0.00037	   Digraph	050	120	     fbell	
100	0.00126	0.00002	0.00123	0.00136	   Digraph	050	120	      dijk	
100	0.01899	0.00209	0.01771	0.02469	   Digraph	050	123	      bell	
100	0.00029	0.00001	0.00028	0.00036	   Digraph	050	123	     fbell	
100	0.00128	0.00002	0.00126	0.00139	   Digraph	050	123	      dijk	
100	0.01908	0.00192	0.01784	0.02365	   Digraph	050	126	      bell	
100	0.00031	0.00001	0.00030	0.00035	   Digraph	050	126	     fbell	
100	0.00129	0.00002	0.00127	0.00135	   Digraph	050	126	      dijk	
100	0.01950	0.00198	0.01830	0.02418	   Digraph	050	129	      bell	
100	0.00031	0.00001	0.00030	0.00035	   Digraph	050	129	     fbell	
100	0.00121	0.00002	0.00119	0.00130	   Digraph	050	129	      dijk	
100	0.02010	0.00223	0.01880	0.03016	   Digraph	050	132	      bell	
100	0.00012	0.00043	0.00007	0.00442	   Digraph	050	132	     fbell	
100	0.00083	0.00002	0.00081	0.00090	   Digraph	050	132	      dijk	
