TIME GRAPH   ORDER   SIZE    AG
0.01681	   Digraph	050	060	      bell
0.01473	   Digraph	050	060	      bell	
0.01785	   Digraph	050	060	      bell	
0.02180	   Digraph	050	060	      bell	
0.01414	   Digraph	050	060	      bell	
0.01379	   Digraph	050	060	      bell	
0.01400	   Digraph	050	060	      bell	
0.01391	   Digraph	050	060	      bell	
0.01393	   Digraph	050	060	      bell	
0.01296	   Digraph	050	060	      bell	
0.01209	   Digraph	050	060	      bell	
0.01255	   Digraph	050	060	      bell	
0.01744	   Digraph	050	060	      bell	
0.01215	   Digraph	050	060	      bell	
0.01186	   Digraph	050	060	      bell	
0.01181	   Digraph	050	060	      bell	
0.01168	   Digraph	050	060	      bell	
0.01152	   Digraph	050	060	      bell	
0.01158	   Digraph	050	060	      bell	
0.01142	   Digraph	050	060	      bell	
0.01149	   Digraph	050	060	      bell	
0.01667	   Digraph	050	060	      bell	
0.01132	   Digraph	050	060	      bell	
0.01128	   Digraph	050	060	      bell	
0.01128	   Digraph	050	060	      bell	
0.01126	   Digraph	050	060	      bell	
0.01127	   Digraph	050	060	      bell	
0.01150	   Digraph	050	060	      bell	
0.01141	   Digraph	050	060	      bell	
0.01150	   Digraph	050	060	      bell	
0.01704	   Digraph	050	060	      bell	
0.01131	   Digraph	050	060	      bell	
0.01126	   Digraph	050	060	      bell	
0.01124	   Digraph	050	060	      bell	
0.01118	   Digraph	050	060	      bell	
0.01123	   Digraph	050	060	      bell	
0.01147	   Digraph	050	060	      bell	
0.01140	   Digraph	050	060	      bell	
0.01159	   Digraph	050	060	      bell	
0.01745	   Digraph	050	060	      bell	
0.01161	   Digraph	050	060	      bell	
0.01130	   Digraph	050	060	      bell	
0.01123	   Digraph	050	060	      bell	
0.01123	   Digraph	050	060	      bell	
0.01127	   Digraph	050	060	      bell	
0.01144	   Digraph	050	060	      bell	
0.01142	   Digraph	050	060	      bell	
0.01237	   Digraph	050	060	      bell	
0.02042	   Digraph	050	060	      bell	
0.01211	   Digraph	050	060	      bell	
0.01195	   Digraph	050	060	      bell	
0.01199	   Digraph	050	060	      bell	
0.01197	   Digraph	050	060	      bell	
0.01200	   Digraph	050	060	      bell	
0.01217	   Digraph	050	060	      bell	
0.01583	   Digraph	050	060	      bell	
0.01219	   Digraph	050	060	      bell	
0.01710	   Digraph	050	060	      bell	
0.01209	   Digraph	050	060	      bell	
0.01196	   Digraph	050	060	      bell	
0.01561	   Digraph	050	060	      bell	
0.01476	   Digraph	050	060	      bell	
0.01220	   Digraph	050	060	      bell	
0.01226	   Digraph	050	060	      bell	
0.01225	   Digraph	050	060	      bell	
0.01769	   Digraph	050	060	      bell	
0.01764	   Digraph	050	060	      bell	
0.01216	   Digraph	050	060	      bell	
0.01196	   Digraph	050	060	      bell	
0.01205	   Digraph	050	060	      bell	
0.01223	   Digraph	050	060	      bell	
0.01197	   Digraph	050	060	      bell	
0.01568	   Digraph	050	060	      bell	
0.01219	   Digraph	050	060	      bell	
0.01352	   Digraph	050	060	      bell	
0.01931	   Digraph	050	060	      bell	
0.01399	   Digraph	050	060	      bell	
0.01382	   Digraph	050	060	      bell	
0.01199	   Digraph	050	060	      bell	
0.01215	   Digraph	050	060	      bell	
0.01209	   Digraph	050	060	      bell	
