TIME GRAPH   ORDER   SIZE    AG
0.00021	   Digraph	005	010	      bell
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00016	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00017	   Digraph	005	010	      bell	
0.00512	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00025	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00023	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00024	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00018	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00028	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00021	   Digraph	005	010	      bell	
0.00020	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00022	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00019	   Digraph	005	010	      bell	
0.00011	   Digraph	005	010	     fbell	
0.00008	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00006	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00007	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00006	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00006	   Digraph	005	010	     fbell	
0.00008	   Digraph	005	010	     fbell	
0.00008	   Digraph	005	010	     fbell	
0.00007	   Digraph	005	010	     fbell	
0.00007	   Digraph	005	010	     fbell	
0.00010	   Digraph	005	010	     fbell	
0.00008	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00005	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
0.00008	   Digraph	005	010	     fbell	
0.00004	   Digraph	005	010	     fbell	
