REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.01067	0.00288	0.00724	0.02017	   Digraph	020	180	      bell
100	0.00040	0.00095	0.00030	0.00982	   Digraph	020	180	     fbell	
100	0.00056	0.00003	0.00055	0.00081	   Digraph	020	180	      dijk	
100	0.01129	0.00301	0.00763	0.02065	   Digraph	021	180	      bell	
100	0.00031	0.00001	0.00031	0.00034	   Digraph	021	180	     fbell	
100	0.00064	0.00044	0.00059	0.00502	   Digraph	021	180	      dijk	
100	0.01263	0.00304	0.00804	0.02063	   Digraph	022	180	      bell	
100	0.00037	0.00001	0.00036	0.00042	   Digraph	022	180	     fbell	
100	0.00072	0.00097	0.00061	0.01035	   Digraph	022	180	      dijk	
100	0.01285	0.00266	0.00842	0.01787	   Digraph	023	180	      bell	
100	0.00033	0.00001	0.00032	0.00040	   Digraph	023	180	     fbell	
100	0.00079	0.00096	0.00067	0.01035	   Digraph	023	180	      dijk	
100	0.01303	0.00266	0.00887	0.02194	   Digraph	024	180	      bell	
100	0.00031	0.00001	0.00030	0.00037	   Digraph	024	180	     fbell	
100	0.00070	0.00002	0.00068	0.00079	   Digraph	024	180	      dijk	
100	0.01368	0.00268	0.00928	0.02254	   Digraph	025	180	      bell	
100	0.00040	0.00086	0.00030	0.00892	   Digraph	025	180	     fbell	
100	0.00067	0.00001	0.00066	0.00072	   Digraph	025	180	      dijk	
100	0.01441	0.00271	0.00978	0.02298	   Digraph	026	180	      bell	
100	0.00029	0.00001	0.00028	0.00034	   Digraph	026	180	     fbell	
100	0.00081	0.00044	0.00075	0.00517	   Digraph	026	180	      dijk	
100	0.01489	0.00265	0.01011	0.02435	   Digraph	027	180	      bell	
100	0.00030	0.00001	0.00029	0.00035	   Digraph	027	180	     fbell	
100	0.00089	0.00120	0.00072	0.01206	   Digraph	027	180	      dijk	
100	0.01543	0.00231	0.01059	0.01943	   Digraph	028	180	      bell	
100	0.00030	0.00001	0.00029	0.00035	   Digraph	028	180	     fbell	
100	0.00089	0.00132	0.00073	0.01400	   Digraph	028	180	      dijk	
100	0.01614	0.00266	0.01102	0.02469	   Digraph	029	180	      bell	
100	0.00040	0.00001	0.00039	0.00046	   Digraph	029	180	     fbell	
100	0.00099	0.00122	0.00082	0.01235	   Digraph	029	180	      dijk	
100	0.01679	0.00257	0.01145	0.02524	   Digraph	030	180	      bell	
100	0.00039	0.00001	0.00038	0.00044	   Digraph	030	180	     fbell	
100	0.00078	0.00002	0.00076	0.00084	   Digraph	030	180	      dijk	
100	0.01747	0.00321	0.01195	0.02740	   Digraph	031	180	      bell	
100	0.00031	0.00001	0.00030	0.00037	   Digraph	031	180	     fbell	
100	0.00082	0.00001	0.00081	0.00087	   Digraph	031	180	      dijk	
100	0.01851	0.00239	0.01321	0.02751	   Digraph	032	180	      bell	
100	0.00042	0.00001	0.00040	0.00045	   Digraph	032	180	     fbell	
100	0.00110	0.00146	0.00089	0.01494	   Digraph	032	180	      dijk	
100	0.01888	0.00235	0.01286	0.02742	   Digraph	033	180	      bell	
100	0.00045	0.00081	0.00036	0.00853	   Digraph	033	180	     fbell	
100	0.00091	0.00001	0.00090	0.00097	   Digraph	033	180	      dijk	
100	0.01926	0.00319	0.01320	0.02717	   Digraph	034	180	      bell	
100	0.00046	0.00103	0.00032	0.00978	   Digraph	034	180	     fbell	
100	0.00088	0.00001	0.00087	0.00093	   Digraph	034	180	      dijk	
100	0.02011	0.00219	0.01368	0.02779	   Digraph	035	180	      bell	
100	0.00044	0.00044	0.00038	0.00482	   Digraph	035	180	     fbell	
100	0.00095	0.00002	0.00093	0.00105	   Digraph	035	180	      dijk	
100	0.02102	0.00242	0.01425	0.03268	   Digraph	036	180	      bell	
100	0.00043	0.00045	0.00037	0.00493	   Digraph	036	180	     fbell	
100	0.00104	0.00111	0.00091	0.01203	   Digraph	036	180	      dijk	
100	0.02202	0.00143	0.01718	0.02920	   Digraph	037	180	      bell	
100	0.00042	0.00001	0.00040	0.00047	   Digraph	037	180	     fbell	
100	0.00128	0.00148	0.00106	0.01529	   Digraph	037	180	      dijk	
100	0.02353	0.00264	0.01876	0.03272	   Digraph	038	180	      bell	
100	0.00047	0.00046	0.00041	0.00504	   Digraph	038	180	     fbell	
100	0.00113	0.00128	0.00098	0.01388	   Digraph	038	180	      dijk	
100	0.02337	0.00167	0.02064	0.03126	   Digraph	039	180	      bell	
100	0.00057	0.00085	0.00047	0.00906	   Digraph	039	180	     fbell	
100	0.00110	0.00047	0.00104	0.00582	   Digraph	039	180	      dijk	
100	0.02385	0.00184	0.02118	0.03152	   Digraph	040	180	      bell	
