TIME GRAPH   ORDER   SIZE    AG
0.00740	   Digraph	020	180	      bell
0.01288	   Digraph	020	180	      bell	
0.00876	   Digraph	020	180	      bell	
0.01268	   Digraph	020	180	      bell	
0.00829	   Digraph	020	180	      bell	
0.01260	   Digraph	020	180	      bell	
0.00824	   Digraph	020	180	      bell	
0.01270	   Digraph	020	180	      bell	
0.01478	   Digraph	020	180	      bell	
0.00727	   Digraph	020	180	      bell	
0.01234	   Digraph	020	180	      bell	
0.00828	   Digraph	020	180	      bell	
0.01271	   Digraph	020	180	      bell	
0.00826	   Digraph	020	180	      bell	
0.01266	   Digraph	020	180	      bell	
0.00824	   Digraph	020	180	      bell	
0.01280	   Digraph	020	180	      bell	
0.00831	   Digraph	020	180	      bell	
0.01276	   Digraph	020	180	      bell	
0.00819	   Digraph	020	180	      bell	
0.01294	   Digraph	020	180	      bell	
0.00818	   Digraph	020	180	      bell	
0.01283	   Digraph	020	180	      bell	
0.00817	   Digraph	020	180	      bell	
0.01321	   Digraph	020	180	      bell	
0.00814	   Digraph	020	180	      bell	
0.01320	   Digraph	020	180	      bell	
0.01533	   Digraph	020	180	      bell	
0.00724	   Digraph	020	180	      bell	
0.01213	   Digraph	020	180	      bell	
0.00820	   Digraph	020	180	      bell	
0.01283	   Digraph	020	180	      bell	
0.00818	   Digraph	020	180	      bell	
0.01272	   Digraph	020	180	      bell	
0.00816	   Digraph	020	180	      bell	
0.01277	   Digraph	020	180	      bell	
0.00820	   Digraph	020	180	      bell	
0.01326	   Digraph	020	180	      bell	
0.00821	   Digraph	020	180	      bell	
0.01305	   Digraph	020	180	      bell	
0.00813	   Digraph	020	180	      bell	
0.01282	   Digraph	020	180	      bell	
0.00816	   Digraph	020	180	      bell	
0.01377	   Digraph	020	180	      bell	
0.00815	   Digraph	020	180	      bell	
0.00856	   Digraph	020	180	      bell	
0.01967	   Digraph	020	180	      bell	
0.00730	   Digraph	020	180	      bell	
0.01200	   Digraph	020	180	      bell	
0.00813	   Digraph	020	180	      bell	
0.01286	   Digraph	020	180	      bell	
0.00819	   Digraph	020	180	      bell	
0.01275	   Digraph	020	180	      bell	
0.00813	   Digraph	020	180	      bell	
0.01303	   Digraph	020	180	      bell	
0.00822	   Digraph	020	180	      bell	
0.01309	   Digraph	020	180	      bell	
0.00820	   Digraph	020	180	      bell	
0.01289	   Digraph	020	180	      bell	
0.00811	   Digraph	020	180	      bell	
0.01284	   Digraph	020	180	      bell	
0.00817	   Digraph	020	180	      bell	
0.00843	   Digraph	020	180	      bell	
0.01267	   Digraph	020	180	      bell	
0.00837	   Digraph	020	180	      bell	
0.02011	   Digraph	020	180	      bell	
0.00735	   Digraph	020	180	      bell	
0.01182	   Digraph	020	180	      bell	
0.00812	   Digraph	020	180	      bell	
0.01298	   Digraph	020	180	      bell	
0.00816	   Digraph	020	180	      bell	
0.01281	   Digraph	020	180	      bell	
0.00814	   Digraph	020	180	      bell	
0.01288	   Digraph	020	180	      bell	
0.00815	   Digraph	020	180	      bell	
0.01317	   Digraph	020	180	      bell	
0.00817	   Digraph	020	180	      bell	
0.00849	   Digraph	020	180	      bell	
0.01256	   Digraph	020	180	      bell	
0.00840	   Digraph	020	180	      bell	
0.01259	   Digraph	020	180	      bell	
0.00830	   Digraph	020	180	      bell	
0.01286	   Digraph	020	180	      bell	
0.00831	   Digraph	020	180	      bell	
0.02017	   Digraph	020	180	      bell	
