AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00116	0.00016	0.00104	0.00224	   Digraph	050	020	      fibo	
0.00080	0.00010	0.00072	0.00127	   Digraph	050	020	       bin	
0.00105	0.00008	0.00100	0.00153	   Digraph	050	020	       vec	
0.00113	0.00014	0.00102	0.00167	   Digraph	050	021	      fibo	
0.00082	0.00017	0.00070	0.00190	   Digraph	050	021	       bin	
0.00107	0.00015	0.00099	0.00210	   Digraph	050	021	       vec	
0.00117	0.00025	0.00101	0.00295	   Digraph	050	022	      fibo	
0.00078	0.00009	0.00070	0.00133	   Digraph	050	022	       bin	
0.00105	0.00007	0.00100	0.00138	   Digraph	050	022	       vec	
0.00115	0.00022	0.00101	0.00313	   Digraph	050	023	      fibo	
0.00077	0.00006	0.00070	0.00093	   Digraph	050	023	       bin	
0.00105	0.00007	0.00099	0.00140	   Digraph	050	023	       vec	
0.00123	0.00010	0.00112	0.00160	   Digraph	050	024	      fibo	
0.00081	0.00005	0.00076	0.00102	   Digraph	050	024	       bin	
0.00105	0.00004	0.00101	0.00111	   Digraph	050	024	       vec	
0.00111	0.00004	0.00103	0.00121	   Digraph	050	025	      fibo	
0.00078	0.00004	0.00072	0.00094	   Digraph	050	025	       bin	
0.00105	0.00004	0.00100	0.00110	   Digraph	050	025	       vec	
0.00115	0.00004	0.00107	0.00128	   Digraph	050	026	      fibo	
0.00078	0.00004	0.00072	0.00097	   Digraph	050	026	       bin	
0.00105	0.00004	0.00100	0.00112	   Digraph	050	026	       vec	
0.00113	0.00004	0.00104	0.00124	   Digraph	050	027	      fibo	
0.00078	0.00004	0.00072	0.00084	   Digraph	050	027	       bin	
0.00109	0.00023	0.00100	0.00313	   Digraph	050	027	       vec	
0.00110	0.00004	0.00101	0.00131	   Digraph	050	028	      fibo	
0.00076	0.00004	0.00071	0.00083	   Digraph	050	028	       bin	
0.00105	0.00004	0.00100	0.00112	   Digraph	050	028	       vec	
0.00112	0.00004	0.00103	0.00125	   Digraph	050	029	      fibo	
0.00078	0.00004	0.00073	0.00083	   Digraph	050	029	       bin	
0.00105	0.00004	0.00101	0.00112	   Digraph	050	029	       vec	
0.00115	0.00004	0.00106	0.00135	   Digraph	050	030	      fibo	
0.00088	0.00003	0.00083	0.00098	   Digraph	050	030	       bin	
0.00107	0.00004	0.00103	0.00113	   Digraph	050	030	       vec	
0.00117	0.00010	0.00108	0.00185	   Digraph	050	031	      fibo	
0.00082	0.00004	0.00077	0.00092	   Digraph	050	031	       bin	
0.00113	0.00044	0.00102	0.00428	   Digraph	050	031	       vec	
0.00118	0.00022	0.00106	0.00327	   Digraph	050	032	      fibo	
0.00085	0.00037	0.00075	0.00388	   Digraph	050	032	       bin	
0.00106	0.00004	0.00102	0.00112	   Digraph	050	032	       vec	
0.00134	0.00103	0.00112	0.01143	   Digraph	050	033	      fibo	
0.00080	0.00003	0.00074	0.00083	   Digraph	050	033	       bin	
0.00105	0.00004	0.00101	0.00115	   Digraph	050	033	       vec	
0.00111	0.00005	0.00102	0.00132	   Digraph	050	034	      fibo	
0.00080	0.00010	0.00072	0.00127	   Digraph	050	034	       bin	
0.00106	0.00005	0.00101	0.00130	   Digraph	050	034	       vec	
0.00114	0.00012	0.00103	0.00171	   Digraph	050	035	      fibo	
0.00080	0.00007	0.00072	0.00121	   Digraph	050	035	       bin	
0.00106	0.00007	0.00101	0.00155	   Digraph	050	035	       vec	
0.00113	0.00012	0.00101	0.00168	   Digraph	050	036	      fibo	
0.00079	0.00006	0.00072	0.00116	   Digraph	050	036	       bin	
0.00109	0.00021	0.00101	0.00314	   Digraph	050	036	       vec	
0.00126	0.00016	0.00114	0.00214	   Digraph	050	037	      fibo	
0.00092	0.00007	0.00085	0.00132	   Digraph	050	037	       bin	
0.00110	0.00006	0.00104	0.00150	   Digraph	050	037	       vec	
0.00115	0.00007	0.00104	0.00156	   Digraph	050	038	      fibo	
0.00080	0.00003	0.00074	0.00083	   Digraph	050	038	       bin	
0.00106	0.00004	0.00102	0.00119	   Digraph	050	038	       vec	
0.00116	0.00004	0.00108	0.00130	   Digraph	050	039	      fibo	
0.00087	0.00003	0.00081	0.00092	   Digraph	050	039	       bin	
0.00108	0.00004	0.00103	0.00119	   Digraph	050	039	       vec	
0.00111	0.00005	0.00103	0.00127	   Digraph	050	040	      fibo	
0.00082	0.00003	0.00076	0.00086	   Digraph	050	040	       bin	
0.00107	0.00004	0.00102	0.00115	   Digraph	050	040	       vec	
0.00114	0.00038	0.00102	0.00486	   Digraph	050	041	      fibo	
0.00078	0.00003	0.00072	0.00082	   Digraph	050	041	       bin	
0.00106	0.00004	0.00102	0.00114	   Digraph	050	041	       vec	
0.00110	0.00004	0.00102	0.00121	   Digraph	050	042	      fibo	
0.00078	0.00003	0.00073	0.00082	   Digraph	050	042	       bin	
0.00106	0.00004	0.00102	0.00113	   Digraph	050	042	       vec	
