AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00087	0.00019	0.00079	0.00232	   Digraph	020	180	      fibo	
0.00095	0.00037	0.00088	0.00432	   Digraph	020	180	       bin	
0.00051	0.00003	0.00048	0.00074	   Digraph	020	180	       vec	
0.00097	0.00029	0.00087	0.00280	   Digraph	021	180	      fibo	
0.00099	0.00013	0.00094	0.00229	   Digraph	021	180	       bin	
0.00053	0.00013	0.00050	0.00181	   Digraph	021	180	       vec	
0.00094	0.00023	0.00086	0.00274	   Digraph	022	180	      fibo	
0.00104	0.00019	0.00098	0.00240	   Digraph	022	180	       bin	
0.00057	0.00030	0.00053	0.00360	   Digraph	022	180	       vec	
0.00096	0.00021	0.00088	0.00265	   Digraph	023	180	      fibo	
0.00105	0.00018	0.00099	0.00237	   Digraph	023	180	       bin	
0.00058	0.00012	0.00054	0.00179	   Digraph	023	180	       vec	
0.00104	0.00024	0.00096	0.00295	   Digraph	024	180	      fibo	
0.00114	0.00034	0.00104	0.00387	   Digraph	024	180	       bin	
0.00062	0.00015	0.00058	0.00214	   Digraph	024	180	       vec	
0.00110	0.00029	0.00100	0.00299	   Digraph	025	180	      fibo	
0.00114	0.00029	0.00108	0.00377	   Digraph	025	180	       bin	
0.00064	0.00013	0.00061	0.00192	   Digraph	025	180	       vec	
0.00108	0.00024	0.00099	0.00283	   Digraph	026	180	      fibo	
0.00117	0.00033	0.00107	0.00379	   Digraph	026	180	       bin	
0.00065	0.00018	0.00061	0.00240	   Digraph	026	180	       vec	
0.00116	0.00047	0.00103	0.00529	   Digraph	027	180	      fibo	
0.00120	0.00019	0.00113	0.00265	   Digraph	027	180	       bin	
0.00070	0.00023	0.00064	0.00253	   Digraph	027	180	       vec	
0.00117	0.00035	0.00108	0.00409	   Digraph	028	180	      fibo	
0.00132	0.00018	0.00124	0.00260	   Digraph	028	180	       bin	
0.00072	0.00015	0.00068	0.00222	   Digraph	028	180	       vec	
0.00123	0.00040	0.00111	0.00419	   Digraph	029	180	      fibo	
0.00131	0.00018	0.00124	0.00259	   Digraph	029	180	       bin	
0.00073	0.00014	0.00069	0.00206	   Digraph	029	180	       vec	
0.00118	0.00023	0.00112	0.00331	   Digraph	030	180	      fibo	
0.00132	0.00005	0.00126	0.00158	   Digraph	030	180	       bin	
0.00083	0.00094	0.00072	0.01015	   Digraph	030	180	       vec	
0.00127	0.00021	0.00121	0.00337	   Digraph	031	180	      fibo	
0.00146	0.00092	0.00132	0.01066	   Digraph	031	180	       bin	
0.00075	0.00000	0.00075	0.00077	   Digraph	031	180	       vec	
0.00121	0.00022	0.00114	0.00335	   Digraph	032	180	      fibo	
0.00139	0.00094	0.00128	0.01070	   Digraph	032	180	       bin	
0.00080	0.00022	0.00076	0.00302	   Digraph	032	180	       vec	
0.00138	0.00096	0.00123	0.01091	   Digraph	033	180	      fibo	
0.00140	0.00022	0.00135	0.00352	   Digraph	033	180	       bin	
0.00082	0.00003	0.00080	0.00090	   Digraph	033	180	       vec	
0.00138	0.00021	0.00133	0.00347	   Digraph	034	180	      fibo	
0.00150	0.00003	0.00144	0.00158	   Digraph	034	180	       bin	
0.00094	0.00096	0.00084	0.01048	   Digraph	034	180	       vec	
0.00136	0.00021	0.00130	0.00345	   Digraph	035	180	      fibo	
0.00162	0.00095	0.00148	0.01108	   Digraph	035	180	       bin	
0.00087	0.00002	0.00086	0.00103	   Digraph	035	180	       vec	
0.00151	0.00087	0.00136	0.01011	   Digraph	036	180	      fibo	
0.00158	0.00021	0.00153	0.00366	   Digraph	036	180	       bin	
0.00092	0.00004	0.00089	0.00115	   Digraph	036	180	       vec	
0.00152	0.00102	0.00137	0.01146	   Digraph	037	180	      fibo	
0.00157	0.00019	0.00149	0.00348	   Digraph	037	180	       bin	
0.00094	0.00003	0.00092	0.00117	   Digraph	037	180	       vec	
0.00143	0.00022	0.00136	0.00359	   Digraph	038	180	      fibo	
0.00167	0.00102	0.00154	0.01180	   Digraph	038	180	       bin	
0.00099	0.00022	0.00094	0.00311	   Digraph	038	180	       vec	
0.00159	0.00099	0.00145	0.01143	   Digraph	039	180	      fibo	
0.00171	0.00021	0.00163	0.00373	   Digraph	039	180	       bin	
0.00111	0.00095	0.00099	0.01058	   Digraph	039	180	       vec	
0.00157	0.00021	0.00150	0.00366	   Digraph	040	180	      fibo	
0.00186	0.00099	0.00172	0.01170	   Digraph	040	180	       bin	
0.00106	0.00004	0.00103	0.00117	   Digraph	040	180	       vec	
0.00167	0.00102	0.00153	0.01180	   Digraph	041	180	      fibo	
0.00180	0.00020	0.00172	0.00378	   Digraph	041	180	       bin	
0.00117	0.00094	0.00106	0.01050	   Digraph	041	180	       vec	
0.00182	0.00100	0.00164	0.01150	   Digraph	042	180	      fibo	
0.00182	0.00022	0.00177	0.00399	   Digraph	042	180	       bin	
0.00113	0.00004	0.00109	0.00120	   Digraph	042	180	       vec	
0.00182	0.00101	0.00166	0.01160	   Digraph	043	180	      fibo	
0.00196	0.00091	0.00179	0.01085	   Digraph	043	180	       bin	
0.00113	0.00003	0.00112	0.00138	   Digraph	043	180	       vec	
0.00185	0.00083	0.00169	0.01008	   Digraph	044	180	      fibo	
