0.00308	   Digraph	005	010	   bellman	
0.00176	   Digraph	005	010	   bellman	
0.00178	   Digraph	005	010	   bellman	
0.00149	   Digraph	005	010	   bellman	
0.00144	   Digraph	005	010	   bellman	
0.00139	   Digraph	005	010	   bellman	
0.00121	   Digraph	005	010	   bellman	
0.00119	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00096	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00096	   Digraph	005	010	   bellman	
0.00569	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00122	   Digraph	005	010	   bellman	
0.00124	   Digraph	005	010	   bellman	
0.00134	   Digraph	005	010	   bellman	
0.00563	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00116	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00115	   Digraph	005	010	   bellman	
0.00120	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00573	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00115	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00569	   Digraph	005	010	   bellman	
0.00116	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00115	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00118	   Digraph	005	010	   bellman	
0.00058	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00052	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.01010	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00057	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00045	   Digraph	005	010	  dijkstra	
0.00045	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00045	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00045	   Digraph	005	010	  dijkstra	
0.00045	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00050	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00050	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00048	   Digraph	005	010	  dijkstra	
0.00052	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00046	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00049	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
0.00047	   Digraph	005	010	  dijkstra	
