0.00193	   Digraph	005	010	   bellman	
0.00161	   Digraph	005	010	   bellman	
0.00148	   Digraph	005	010	   bellman	
0.00128	   Digraph	005	010	   bellman	
0.00127	   Digraph	005	010	   bellman	
0.00132	   Digraph	005	010	   bellman	
0.00120	   Digraph	005	010	   bellman	
0.00150	   Digraph	005	010	   bellman	
0.00136	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00576	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00136	   Digraph	005	010	   bellman	
0.00121	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00560	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00097	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.01005	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00084	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00534	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00569	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00148	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00114	   Digraph	005	010	   bellman	
0.00119	   Digraph	005	010	   bellman	
0.00539	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00096	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00563	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00456	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00612	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.01036	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00118	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00094	   Digraph	005	010	   bellman	
0.00096	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00549	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00116	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00122	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00116	   Digraph	005	010	   bellman	
0.00545	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00097	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00097	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00558	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00125	   Digraph	005	010	   bellman	
0.00115	   Digraph	005	010	   bellman	
0.00116	   Digraph	005	010	   bellman	
0.00553	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00558	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.01001	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00087	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00085	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00086	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00553	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00573	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00107	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00112	   Digraph	005	010	   bellman	
0.00567	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00126	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00123	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00111	   Digraph	005	010	   bellman	
0.00104	   Digraph	005	010	   bellman	
0.00122	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00548	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00103	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00099	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00106	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00113	   Digraph	005	010	   bellman	
0.00115	   Digraph	005	010	   bellman	
0.00559	   Digraph	005	010	   bellman	
0.00105	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.00100	   Digraph	005	010	   bellman	
0.01100	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00088	   Digraph	005	010	   bellman	
0.00097	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00094	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00117	   Digraph	005	010	   bellman	
0.00131	   Digraph	005	010	   bellman	
0.00109	   Digraph	005	010	   bellman	
0.00092	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00091	   Digraph	005	010	   bellman	
0.00089	   Digraph	005	010	   bellman	
0.00093	   Digraph	005	010	   bellman	
0.00096	   Digraph	005	010	   bellman	
0.00551	   Digraph	005	010	   bellman	
0.00110	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
0.00102	   Digraph	005	010	   bellman	
0.00097	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00108	   Digraph	005	010	   bellman	
0.00098	   Digraph	005	010	   bellman	
0.00101	   Digraph	005	010	   bellman	
